Claims,Fact Check
A video shared on social media claims that the Indian Army is entering Bangladesh from West Bengal to suppress protests.,0
A fake YouTube video is being circulated on social media.,0
An image of a protest is being shared on social media in regard to Jammu & Kashmir.,0
An image of a protest is being shared on social media in regard to Jammu & Kashmir.,0
A fake YouTube channel is circulating a video claiming that the government will fall in August.,0
A fake YouTube video circulating on social media claims that government officials such as Amit Shah and Narendra Modi will be involved in a legal issue.,0
A message is being circulated claiming that SBI is offering rewards for installing an APK file.,0
A message circulating on social media claims the due date for filing ITR has been extended.,0
"A notice purportedly from BSNL claims a customer’s KYC has been suspended by TRAI, and the sim card will be blocked.",0
" A claim circulating on social media says that the microphone of CM, West Bengal, was switched off during the 9th Governing Council Meeting of NITI Aayog.",0
A message circulating with a link allegedly from TRAI claims to offer free mobile recharge to all Indian citizens.,0
"A fake YouTube channel ""Times Express"" is circulating misleading videos.",0
A fake message claiming that India Post requires users to update their address to avoid their package being returned.,0
 A message from India Post claims that a customer’s package has arrived and the address needs to be updated to avoid return.,0
A message claims that government will fall in August.,0
"A message circulating on social media claims the microphone of CM, West Bengal, was switched off during the NITI Aayog meeting.",0
An image of a protest in Kashmir is being circulated on social media.,0
A message circulating claiming a KYC suspension notice from BSNL.,0
"A YouTube video from ""Times Express"" falsely claims FIR will be filed against Amit Shah, Narendra Modi, and the Election Commission.",0
" A YouTube video circulating from ""Times Express"" claims government will fall in August.",0
A fake YouTube channel circulating misleading information about the government falling.,0
"A message claiming that ""Times Express"" will reveal EVM tampering is circulating.",0
A video from a fake YouTube channel claims that the government will collapse in August.,0
A message from BSNL claiming KYC suspension and blocking of SIM card.,0
A message from India Post saying a customer’s package needs address update to avoid return.,0
 A fake message circulating claiming a government extension for ITR filing.,0
"A video from ""Times Express"" claiming FIR will be filed against Narendra Modi, Amit Shah.",0
A false claim on social media regarding SBI reward offers.,0
A false message claiming free recharge from TRAI.,0
A message about fake free recharge offers circulating on social media.,0
A message from TRAI offering free recharge plans.,0
A fake offer from TRAI for free recharge and data plans.,0
 A fake link circulating claiming free mobile recharge.,0
"Have you received an SMS from @IndiaPostOffice stating that your package has arrived at the warehouse, further asking you to update your address details within 48 hours to avoid the package being returned?",0
A fake Instagram handle (@vicepresidentoffice) is impersonating the official handle of the Vice President of India.,1
NCPCR's claim is being misrepresented in a post.,0
 Police can arrest any person for 24 hours without giving an explanation.,0
Misleading claims regarding the duration of the detention period under New Criminal Laws.,0
 A post claims that @NTA_Exams's website was hacked until June 18 and its data was sold on the dark web. ,0
NTA is a private organization and does not come under the RTI Act.,0
A berth crashed on a passenger of Train 12645 Ernakulam to H. Nizamuddin.,0
"You received an approval letter seeking an 8,000 registration fee under PM Kusum Yojana.",0
"As per new rules of @IRCTCofficial, individuals can only book railway tickets for blood relatives or those with the same surname. ",0
 Free medical consultation services at home through the ‘eSanjeevani OPD free teleconsultation system’.,1
Boundary wall of the newly inaugurated Ayodhya Dham railway station has collapsed.,0
A loco pilot claims that installed fans are not functioning in scorching heat.,0
Claims regarding the new energy schemes and investments. ,2
"""News Sectors"" posted on YouTube related to the claim about some event.",0
"""NewsFair"" posted a similar claim about a different event.",0
" ""AllPoliticsNews92"" posted about an event related to politics.",0
A message circulating about #NEET updates and exam-related claims.,0
 A message circulating about NTA updates and exam details.,0
BSNL customer notice claiming KYC suspension and sim card blocking.,0
PM Narendra Modi is giving 3 Months of free recharge to Indian users. ,0
 UPSC CSE updates regarding exam details. ,0
Fake website impersonating the official CoWIN website offering employment opportunities. ,0
 Fake scheme announcement about free online college courses by the Indian Ministry of Education.,0
 Fake court order regarding Internet IP and pornographic viewing platform. ,0
 P-500 variant of Paracetamol tablets contains a deadly virus called Machupo.,0
A fraudulent offer about free online courses in May from the Ministry of Education. ,0
Fake notice about job offers requiring an upfront fee. ,0
Fake claim about cow urine being bottled and sold with FSSAI approval.,0
Fake Instagram video claiming the 'Know your ISP' feature in Sanchar Saathi can provide free WiFi.,0
Fake approval letter circulating from HPCL offering LPG dealership.,0
Fake claim about six Indian SOG commandos being gunned down by Kashmiri fighters in Kulgam.,0
"Have you also received a notice issued in the name of @TRAI seeking 25,000 as a deposit for installing mobile towers?",0
A video circulating on social media is being shared with a claim that people are breaking #EVMs in a polling booth after finding that VVPATs showed BJP's symbol on pressing any button.,0
"Re-poll has already been conducted on 22 April 2024, and no mismatch between the button pressed in the Ballot Unit and paper slip generated through VVPAT has been alleged by anyone or found.",1
"A message circulating claims that the Ministry of Finance is offering financial aid of 46,715 to every citizen of India.",0
 A claim circulating about the Reserve Bank of India and Aadhaar banking updates for 2024.,0
" A WhatsApp message claims to offer financial aid of 46,715 to the poor class in the name of the Ministry of Finance, asking for personal details. ",0
A claim that the Supreme Court of India has ordered a ban on Electronic Voting Machines ahead of 2024 Lok Sabha Elections.,0
"A claim that the ""Sarkari Khabar"" YouTube channel is sharing fake news about government jobs and updates",0
 A scam circulating that your electricity will be disconnected unless you update your bill immediately.,0
"Claims of free teleconsultation services via the eSanjeevani OPD system, providing remote doctor consultations. ",1
An email claiming a court order against your internet traffic is a phishing scam.,0
"A fake offer letter in the name of the Ministry of Railways, stating an appointment as a Ticket Collector without passing examinations.",0
" YouTube channel ‘MBT News C’ with over 25.4K subscribers and around 19 Lakh views is spreading Fake News related to the Prime Minister of India, President of India, Supreme Court, and ECI.",1
Fake news is being spread on YouTube related to the Prime Minister of India.,1
A fake website 'sarvashikshaedu.org’ claims to be the official website of Sarva Shiksha Abhiyan and is offering job vacancies.,0
A fake video by ‘BM News Network’ claims that Supreme Court (SC) has issued a directive for elections to be conducted using ballot paper.,0
A fake video claims that the EVM has been banned.,0
A fake YouTube video claims the PM Internship Scheme 2024 registration is open.,0
A fake video circulating about the PM Internship Scheme 2024.,0
" A fake website is claiming to offer job opportunities and requires a payment of ₹71,675 as an application fee.",0
A fake letter claims consumers need to update their electricity bills to avoid disconnection.,0
Fake notices from BSNL claiming that the customer’s KYC has been suspended and SIM cards will be blocked within 24 hours.,0
A fake letter purportedly from Indian Cyber Crime Coordination Center (I4C) is being circulated.,0
"Fake WhatsApp message claiming to offer a lucky draw for ₹26,000 and asking for personal details",0
Fake AI-generated images related to farmer's protests are circulating on social media.,1
A fake letter claims consumers must update their electricity bills to avoid disconnection.,0
Fake BSNL notice claiming that KYC has been suspended and SIM cards will be blocked.,0
A fake message claims that the consumer's KYC has been suspended by TRAI and SIM cards will be blocked.,0
A fake job offer website is asking for money as an application fee for positions under the Ministry of Agriculture.,0
Fake claim by 'Hindi Breaking News' about the EVM ban.,0
Fake news by Hindi Breaking News about the Supreme Court issuing a directive for election changes.,0
"A fake website rashtriyavikasyojna.org claims to offer jobs for various positions and seeks an application fee of ₹71,675.",0
A fake video by 'Hindi Breaking News' claiming the EVM is banned.,0
 A fake website is circulating claims about fake government job offers.,0
Fake news about government schemes being shared by YouTube channels like 'Government Gyan.',0
" A fraudulent website claims to offer job vacancies for a fee of ₹71,675.",0
 A fraudulent job offer in the name of the Ministry of Agriculture is being circulated.,0
A fake website rashtriyavikasyojna.org asks for money to apply for jobs.,0
Fake government job schemes being promoted by YouTube channels like 'Government Gyan.',0
A fraudulent message is circulating about the PM Internship Scheme 2024.,0
 A fraudulent website is offering job opportunities and charging an application fee.,0
Fake news about the PM Internship Yojana 2024 registration is open.,0
Fraudulent YouTube channels are spreading fake news about government schemes and jobs.,0
 Fake notices claiming that BSNL will block your SIM card if you don't update KYC.,0
Fake claims are being made about government schemes being launched by fraudulent sources.,0
Fake notices about disconnection of electricity if bills are not updated immediately.,0
A fraudulent job offer from the Ministry of Agriculture is being circulated through a fake website.,0
"""one viral only car diehigtas aeiaaaatae""",0
A YouTube channel claims that there is a viral scheme involving fake election-related news,0
A viral message claims a government grant of Rs. 1.6 lakhs is being offered,0
"Pay Rs. 2,12,500 and get Rs. 24 crores 62 lakhs in return",0
US government has blocked the sale of drones to India until an investigation into the Pannun assassination is completed,0
PM Modi is giving 3 months of free recharge to all Indian users,0
The government is providing a 3-day week off policy in the next budget,0
Sanchar Saathi portal allows people to check active SIM cards in their name,1
A website is offering fake job opportunities for Government schemes,0
A website claims to be associated with MGNREGA but is fake,1
Teach Official is offering free laptops under a new PM Modi scheme,0
"A message is circulating claiming central government is providing a loan of Rs. 4,78,000 to all Aadhaar cardholders",0
Fake website claims to be a government portal for tractor subsidies under PM Kisan Tractor Yojana,0
"A website is claiming to give out Rs. 15,490 income tax refunds",0
Fake claims about KYC suspension from BSNL,0
"An approval letter is claiming to give a loan of $3,00,000 under PM Mudra Yojana with a legal insurance charge",0
A circulating WhatsApp message claims a free Silai Machine scheme,0
A message claiming free laptops for youth is circulating on social media,0
PM Modi is giving away free recharge to all Indian citizens for the upcoming elections,0
A channel 'Surma Barta' claims that @BSE India fired 40 rounds in the air to alert cattle smugglers & let them flee,0
An Op-ed in @thetribunechd claims that Telecom Bill was introduced as a Money Bill,0
"A fake website 'rojgarsevak.org' is claiming to be the official website of MGNREGA, @MoRD Gol",0
A website allegedly affiliated with Ministry of Social Justice & Empowerment claims to offer government jobs & is seeking ₹435 as a non-refundable registration fee,0
A #Fake letter claims that consumers need to update their electricity bills by contacting the provided helpline number to avoid disconnection,0
An image circulating on social media claims that the Union Finance Minister @nsitharaman will announce a 3-day week off policy in the next #Budget,0
A #Fake message impersonating @TheOfficialSBI claims that recipient's SBI YONO A/C will be blocked if their Pan card is not updated,0
" A #fake e-mail allegedly sent by National Career Services (@NCSindia) claims to offer ₹22,000 per month and a welcome kit via speed post to the recipient",0
Sarkari Yojna Official’ on YouTube claims breaking news about BPL ration cards,0
A #YouTube channel named Aapke Guruji with more than 34.7 lakh subscribers and more than 22 crore views is regularly posting videos with fake information on the schemes being run by the Government of India,0
"A #YouTube Channel Bharat Ekta News has over 11,800 subscribers & more than 24 lakh views propagating fake news related to President, Prime Minister, Chief Justice of India, Home Minister & EVMs",0
A #YouTube channel named GVT News with more than 8.16 lakh subscribers and more than 9 crore views is propagating #FakeNews,0
"A #YouTube channel named Ab Bolega Bharat with more than 1.79 lakh subscribers & more than 3 crore views is propagating #FakeNews related to EVMs, ECI, CBI & Enforcement Directorate",0
A  #YouTube channel named 'Daily Study’ with more than 3.3 lakh subscribers and more than 2 crore views regularly posts fake and misleading information related to schemes of the Government of India,0
Namaste Telangana news report claims that Government has decided to purchase 31 predator drones at a higher price from foreign company,0
"People have received notices from BSNL claiming that their KYC has been suspended by @TRAI, and their SIM cards will be blocked within 24 hours.",0
A photo circulating on social media claims that the Supreme Court has approved a logo for teachers to put on their vehicles like doctors and lawyers.,0
 A bogus lucky draw allegedly from @IndiaPostOffice promises an iPhone 15 as a prize.,0
 A message claims that the government is offering a recharge of Rs. 6000 under some scheme for mobile recharges.,0
A website claims to be associated with the Education Ministry and is inviting people to participate in a Mega Virtual Job Fair.,0
 A Press Release dated 25th October 2023 alleges that @RBI has canceled the license of Abhyudaya Co-operative Bank Ltd.,0
 A WhatsApp message claims that the central government is offering all users a recharge of Rs. 239 for 28 days under the 'Free Mobile Recharge Scheme.',0
An approval letter allegedly issued by @HPCL claims to offer an LPG agency dealership.,0
A fake letter allegedly written by Prime Minister @narendramodi is circulating on social media.,0
 An emergency alert from @DoT_India is being received on phones.,0
Misinformation about a blast in Bengaluru ahead of the #PAKvAUS cricket match.,0
A #WhatsApp message claims a special offer for users regarding financial matters.,0
Several claims about foreign job placements and skill loans being provided by the North Eastern Council.,0
An alleged incident of BSF illegally seizing bags of sugar and selling them to shopkeepers.,0
A letter allegedly from the Intelligence Bureau is seeking a reply regarding certain allegations.,0
" A lottery scam offering Rs. 25 Lakhs in return for a payment of Rs. 76,100.",0
"A viral message offers a loan of Rs. 20,55,000 under the ""PM Mudra Yojana"".",0
"An advertisement claims that the Indian Railways is offering 29,000 vacancies for Assistant Loco Pilot and Technicians.",0
A free recharge offer of 28 days for mobile users is circulating.,0
 A website claiming to offer government jobs for a non-refundable registration fee.,0
"A receipt from @RBI for payment of Rs. 57,200 as Foreign Exchange Conversion Fee.",0
A fraudulent scheme offering free laptops under a PM scheme.,0
A message claims that India Post Payments Bank accounts will be blocked unless the PAN card is updated.,0
A video claims that there is waterlogging at the venue of the #G20Summit.,0
Media reports based on an article by @Reuters have claimed that prominent business leaders have been invited to the #G20India Special Dinner being hosted at Bharat Mandapam on 9th September.,0
Hoardings advertising PM Narendra Modi's popularity rating have been put up at various locations ahead of the #G20Summit.,0
All districts of Delhi will be under lockdown from 8-10 September 2023 for the #G20 Summit.,0
Banners and sheets to hide poverty were used in #G20 summit venues.,0
A tweet is claiming that the family of martyred BSF Jawan Ranjit Yadav has not received any compensation.,0
A tweet claims that the Government of India is offering free laptops to youth under the Prime Minister Free Laptop Scheme 2023.,0
A website 'samagrashiksha.org' is claiming to be the official website of Sarva Shiksha Abhiyan and is offering employment opportunities.,0
"An e-mail allegedly sent by RBI claims to offer 4 crores 62 lakhs on payment of 712,500.",0
The government is spending 2400 crores to buy 50 armoured cars.,0
The Prime Minister Free Laptop Scheme 2023-24 is being run by the Government of India.,0
 A YouTube channel with over 1.7M subscribers and more than 18 Cr views is misrepresenting the Indian Army.,0
YouTube channel 'Sarkari vlog' with over 4.5M subscribers & more than 9.4 Crore views is regularly posting fake information about Government schemes.,0
A YouTube channel 'SPNONEWS' with 489M subscribers is spreading fake national news.,0
" 'Earn India Tech' channel with over 31K subscribers and 3.6M views is propagating fake news related to Aadhar card, PAN card & government schemes.",1
 YouTube channel 'KPS News' with over 1M subscribers & 13 crore views is spreading fake news regarding government schemes.,1
A YouTube channel 'Capital TV' with over 3.5M subscribers is spreading fake news about the PM of India and other government issues.,1
"A YouTube channel 'Yahan Sach Dekho' with over 3M subscribers is spreading fake news about the Election Commission, the Chief Justice of India, and the PM of India.",1
A similar email from Indian Cyber Crime Coordination Centre is claiming action for non-compliance.,0
The National Madarsa Board for School Education claims to be associated with @MOMAIndia and is recruiting Madarsa teachers.,0
" A viral message claims an income tax refund of Rs. 15,490 has been approved.",0
 A notification claiming the Government of India has released new guidelines to monitor WhatsApp chats.,0
A message about the amalgamation of regional rural banks into Baroda UP Bank is genuine.,0
" A message claims an approval for a loan under PM Mudra Yojana on payment of Rs. 36,500.",0
"A lucky draw claim offering a subsidy from India Post worth Rs. 76,000.",0
Fake channels are impersonating the official government Telegram channel.,1
"An emergency alert received from DoT is part of a test process, not an actual emergency.",1
 Fake Instagram accounts claiming to be official ISRO accounts.,0
The Government of India has decided to amalgamate several banks into Baroda UP Bank.,0
 A fraudulent YouTube channel 'Sarkari Vlog' is spreading misinformation.,0
A website claims to offer a petrol pump dealership from PSU Oil Marketing Companies.,0
" A message with a link offering a financial aid benefit of Rs. 32,849 from the Ministry of Finance.",0
The customer's India Post Payments bank account will be blocked within 24 hrs if their PAN card is not updated.,0
Signal Inspector was missing after the interrogation by Central Bureau of Investigation in connection with #Odisha train tragedy.,0
" A viral message circulating on social media claims to offer a loan of ~20,55,000 under the ""PM Mudra Yojana"".",0
 A website claims to offer petrol pump dealership on behalf of PSU Oil Marketing Companies.,0
A letter is circulating on social media claiming that National Exit Test (NExT) will be held in the second half of 2023.,0
"A notification proposes equal status for B.Sc. nursing candidates, considering them as nursing officers equivalent to MBBS and junior doctors.",0
"A #Fake website, ‘samagrashiksha.org’, posing as the official website of the Samagra Shiksha Abhiyan is claiming to provide jobs for various posts.",0
 A #fake website is claiming to provide tractor subsidies to farmers under the Ministry of Agriculture's ‘PM Kisan Tractor Yojana’.,0
"A message with a link claims to offer a benefit of $32,849 in the name of the Ministry of Finance as aid to the poor class and is seeking the recipient's personal details.",0
The Government Of India is offering free laptops to youth under the Prime Minister Free Laptop Scheme 2023.,0
 Banks cannot verify whether you've spent less than 7 lacs in a year.,0
"Sanchar Saathi portal is part of @DoT_India’s initiative to empower mobile subscribers, strengthen their security & increase awareness about citizen-centric initiatives of the Government.",1
A #Fake document regarding the Computer Proficiency Test results of SSC CGL Examinations 2022 is doing rounds on social media.,0
"A message is circulating on social media claiming to offer free laptops for youth & asks to click on a provided link to book it, asking for personal details.",0
It is claimed that Telangana was excluded from the list of 7 mega textile parks to be set up under the PM MITRA scheme.,0
A message claiming that consumers should dial '1098' to prevent any issues or threats regarding government services.,0
A message claims that Free Silai Machines are being distributed under a government scheme.,0
A post claims that the 'Cyber Swachhta Kendra' (CSK) is operated by www.csk.gov.in.,0
A Twitter account @ssc_official__ is claimed to be the official handle of the Staff Selection Commission (SSC).,0
"A claim is circulating that India will be poorer than Bangladesh by 2025 and is no longer a developing nation, as per IMF's World Economic Outlook.",0
A WhatsApp message claims that a recharge offer of ₹239 for 28 days is being provided under a ‘Free Mobile Recharge Scheme.’,0
"A claim says that a loan of ₹8 Lakhs is being offered under PM Employment Generation Program upon a payment of ₹24,000.",0
A message from SBI claims that recipients must update their PAN details to prevent account expiration.,0
A website srbc.in.net claims to be associated with the Ministry of Labour and is conducting online recruitment and providing unemployment allowances.,0
"A fake letter in the name of IOCL is claiming to offer pre-approval for an Indane Gas Agency dealership, asking for KYC documents.",0
"A message from 'VK Hindi World' claims that recipients can earn ₹29,000 by clicking on a link.",0
"An email claims that the recipient is entitled to a refund of ₹41,104 and asks for personal details.",0
A message is circulating that falsely claims to offer free internet recharge via a suspicious link.,0
"A message is circulating on social media claiming to offer free laptops for youth & asks to click on a provided link to book it, asking for personal details.",0
It is claimed that Telangana was excluded from the list of 7 mega textile parks to be set up under the PM MITRA scheme.,0
A message claiming that consumers should dial '1098' to prevent any issues or threats regarding government services.,0
A message claims that Free Silai Machines are being distributed under a government scheme.,0
A post claims that the 'Cyber Swachhta Kendra' (CSK) is operated by www.csk.gov.in.,0
A Twitter account @ssc_official__ is claimed to be the official handle of the Staff Selection Commission (SSC).,0
"A claim is circulating that India will be poorer than Bangladesh by 2025 and is no longer a developing nation, as per IMF's World Economic Outlook.",0
A WhatsApp message claims that a recharge offer of ₹239 for 28 days is being provided under a ‘Free Mobile Recharge Scheme.’,0
"A claim says that a loan of ₹8 Lakhs is being offered under PM Employment Generation Program upon a payment of ₹24,000.",0
A message from SBI claims that recipients must update their PAN details to prevent account expiration.,0
A website srbc.in.net claims to be associated with the Ministry of Labour and is conducting online recruitment and providing unemployment allowances.,0
"A fake letter in the name of IOCL is claiming to offer pre-approval for an Indane Gas Agency dealership, asking for KYC documents.",0
"A message from 'VK Hindi World' claims that recipients can earn ₹29,000 by clicking on a link.",0
"An email claims that the recipient is entitled to a refund of ₹41,104 and asks for personal details.",0
A message is circulating that falsely claims to offer free internet recharge via a suspicious link.,0
"Nation 24 is propagating fake news about the President, Prime Minister, Supreme Court of India, and the Election Commission of India.",0
Nation 24 claims that the Defence Minister has assaulted the Prime Minister.,0
Nation 24 claims that the Chairman of Rajya Sabha was physically assaulted in the Parliament.,0
Nation 24 claims that Union Minister Smriti Irani has been dismissed from her post.,0
Nation 24 claims that Shri Yashwant Sinha resorted to physical violence after losing the presidential election.,0
Nation 24 claims that Defence Minister Rajnath Singh has resigned from his post.,0
 Nation 24 claims that the presidential election will be held again.,0
 Nation 24 claims that Droupadi Murmu conceded defeat and Yashwant Sinha has been announced as the winner of the presidential election.,0
 Nation 24 claims that the use of EVMs has been stopped and polling will be done through ballot papers.,0
Nation 24 claims that Union Home Minister Amit Shah has resigned from his post.,0
Nation 24 falsely claims that the Hon’ble Chief Justice of India has resigned.,0
 Nation 24 claims that there was violence in the Parliament of India.,0
 Nation 24 claims that Prime Minister and Home Minister were caught fiddling with Electronic Voting Machines.,0
 Nation 24 claims that Soldiers of Indian Armed Forces are discarding their border duties to take part in a political rally.,0
 Nation 24 claims that the Hon'ble Speaker of Lok Sabha was physically assaulted in the Parliament.,0
 Nation 24 claims that Former Vice President of India threatened to resign from his post during his tenure.,0
Samvaad TV propagates fake news about the Government of India and Union Ministers.,1
Samvaad TV claims that Union Home Minister Amit Shah has resigned.,0
Samvaad TV claims that Union Home Minister Amit Shah has asked for the removal of Prime Minister Narendra Modi.,0
Samvaad TV claims that Union Minister Nitin Gadkari has resigned.,0
Samvaad TV falsely claims that Union Minister Jyotiraditya Scindia has resigned.,0
Samvaad TV falsely claims that Union Minister Anurag Thakur has resigned.,0
Samvaad TV falsely claims that Union Minister S. Jaishankar has resigned.,0
 Samvaad TV falsely claims that Union Minister Smriti Irani has resigned.,0
 Samvaad TV claims that Union Minister Piyush Goyal has resigned.,0
Samvaad TV falsely claims that Union Minister Dharmendra Pradhan has resigned.,0
Samvaad TV falsely claims that Union Minister Nirmala Sitharaman has resigned.,0
 Samvaad TV falsely claims that the Hon'ble Prime Minister Narendra Modi has resigned.,0
Samvaad TV claims that there was an attempt to attack the Union Home Minister Amit Shah.,0
Samvaad TV falsely claims that Union Minister Kiren Rijiju has resigned.,0
Samvaad TV falsely claims that the Election Commission has been dissolved.,0
Samvaad TV falsely claims that the President of India has been removed.,0
Samvaad TV falsely claims that the Union Cabinet has resigned.,0
Samvaad TV falsely claims that the President of India has apologized for any mistakes made.,0
 Samvaad TV falsely claims that several MPs have resigned from their posts.,0
"A YouTube channel has claimed that the Minister of Road Transport & Highways, @nitin_gadkari has resigned.",0
" A YouTube channel has claimed that the Minister of Road Transport & Highways, @nitin_gadkari has announced that petrol prices will be Rs 55 per liter.",0
A YouTube channel ‘Swarnim Bharat’ claims that Electronic Voting Machines (EVM) have been banned for 46 years.,0
Prime Minister @narendramodi has resigned following the demise of CDS Bipin Rawat.,0
A YouTube video claimed that the politician Kannaiya Kumar entered a Cabinet Meeting and assaulted the Prime Minister and the Minister of Home Affairs.,0
"A YouTube video claimed that after the withdrawal of Farm Laws, Minister of Agriculture & Farmers’ Welfare @nstomar has resigned.",0
 A YouTube video claimed that the Supreme Court of India has given an order regarding EVMs.,0
" A YouTube channel claimed that the Minister of Road Transport & Highways, @nitin_gadkari has resigned.",0
"A YouTube video claimed that the President of India, Droupadi Murmu has said that the Prime Minister, @narendramodi is looting the nation.",0
" A YouTube video claimed that Minister of Road Transport & Highways, Nitin Gadkari has stepped down from his position.",0
A YouTube video claimed that the President of India has said that the Prime Minister should be removed.,0
"A YouTube channel claimed that the Chief Justice of India, Dr. Justice DY. Chandrachud has objected against Prime Minister Narendra Modi.",0
" A YouTube video falsely quoted President of India, Droupadi Murmu regarding Prime Minister Narendra Modi.",0
"A YouTube video falsely quoted Road Transport & Highways, Nitin Gadkari regarding Prime Minister Narendra Modi.",0
 A comment is falsely being attributed towards Union Minister Rajnath Singh by “Samvaad Samachar” in a YouTube video.,0
" A video from Samvaad Samachar claims Union Minister Rajnath Singh made a statement about ""Hilal eclai @3I Sars"".",0
"A video from Samvaad Samachar claims Union Minister Rajnath Singh said ""O8 Sci @51 Gl akale He faa"".",0
A video by Samvaad Samachar falsely claims Union Minister Rajnath Singh made disrespectful comments towards Prime Minister Narendra Modi.,0
" A video from Samvaad Samachar claims the Chief Justice of India, DY Chandrachud, said “51 Geri Ga Peal lar"".",0
A YouTube video by Samvaad Samachar falsely claims the resignation of Union Minister for Road Transport and Highways.,0
 A video from Samvaad Samachar features a false claim about a leaked video involving the Prime Minister.,0
"A YouTube channel 'Sarokar Bharat' with over 21,000 subscribers is propagating fake news regarding the President of India, Prime Minister, and other Union Ministers.",1
" A video from Sarokar Bharat falsely quotes the President of India, Droupadi Murmu.",0
"A video by Sarokar Bharat claims the Finance Minister, Nirmala Sitharaman, has resigned.",0
A video by Sarokar Bharat claims the President of India has taken action against the Prime Minister.,0
Sarokar Bharat claims Defence Minister Rajnath Singh has resigned.,0
Sarokar Bharat falsely claims the Prime Minister will not contest the 2024 Lok Sabha elections.,0
 Sarokar Bharat claims Finance Minister Nirmala Sitharaman has been taken hostage and assaulted.,0
 A video by Sarokar Bharat claims the Defence Minister Rajnath Singh has resigned.,0
" Nation TV has propagated fake news about the President, Union Ministers, and the Election Commission of India.",1
Nation TV claims the Election Commission of India has decided to ban the use of Electronic Voting Machines (EVMs).,0
Nation TV claims the Prime Minister will not contest the 2024 Lok Sabha elections.,0
 Nation TV claims that Finance Minister Nirmala Sitharaman has been taken hostage and assaulted.,0
Nation TV falsely claims the Speaker of the Lok Sabha was physically assaulted in Parliament.,0
Nation TV falsely claims Union Defence Minister Rajnath Singh has resigned.,0
